id,naslov,avtor,ocena_kritikov,leto,ocena_ljudi
1,Ten Freedom Summers,Wadada Leo Smith,99,2012,50
2,SMiLE,Brian Wilson ,97,2004,80
3,Van Lear Rose,Loretta Lynn,97,2004,87
4,To Pimp A Butterfly,Kendrick Lamar,96,2015,90
5,Histoire de Melody Nelson,Serge Gainsbourg,96,2009,87
6,Stankonia,Outkast,95,2000,89
7,Black Messiah,D'Angelo,95,2014,87
8,Skeleton Tree,Nick Cave & the Bad Seeds,95,2016,82
9,My Beautiful Dark Twisted Fantasy,Kanye West,94,2010,89
10,Savane,Ali Farka Toure,94,2006,84
11,Madvillainy,Madvillain,93,2004,87
12,Live At Reading,Nirvana,93,2009,90
13,Love And Theft,Bob Dylan,93,2001,88
14,My Dusty Road,Woody Guthrie,93,2009,50
15,On the Impossible Past,The Menzingers,93,2012,77
16,Lemonade,Beyoncé,92,2016,76
17,Pull Up Some Dust and Sit Down,Ry Cooder,92,2011,68
18,Sunbather,Deafheaven,92,2013,83
19,"Orphans: Brawlers, Bawlers & Bastards",Tom Waits,92,2006,89
20,Boy In Da Corner,Dizzee Rascal,92,2004,89
21,You Want It Darker,Leonard Cohen,92,2016,82
22,Channel Orange,Frank Ocean,92,2012,89
23,The Satanist,Behemoth,92,2014,83
24,Elephant,The White Stripes,92,2003,86
25,Speakerboxxx/The Love Below,Outkast,91,2003,90
26,"Home, Like Noplace Is There",The Hotelier,91,2014,84
27,"Good Kid, M.A.A.D City",Kendrick Lamar,91,2012,91
28,A Grand Don't Come For Free,The Streets,91,2004,79
29,Canto,Los Super Seven,91,2001,75
30,The ArchAndroid,Janelle Monáe,91,2010,91
31,The  Guitar Song,Jamey Johnson,91,2010,80
32,Is This It?,The Strokes,91,2001,91
33,We Got It From Here...Thank You 4 Your Service,A Tribe Called Quest,91,2016,88
34,From Here We Go Sublime,The Field,90,2007,67
35,Illinois,Sufjan Stevens,90,2005,90
36,Carrie & Lowell,Sufjan Stevens,90,2015,88
37,No Cities to Love,Sleater-Kinney,90,2015,82
38,Original Pirate Material,The Streets,90,2002,89
39,Candi Staton,Candi Staton,90,2004,86
40,Alice,Tom Waits,90,2002,89
41,Funeral,Arcade Fire,90,2004,92
42,London Zoo,The Bug,90,2008,65
43,Jama Ko,Bassekou Kouyate & Ngoni Ba,90,2013,60
44,Sir Lucious Left Foot: The Son of Chico Dusty,Big Boi,90,2010,89
45,Untrue,Burial,90,2007,79
46,XTRMNTR,Primal Scream,90,2000,89
47,Spaces,Nils Frahm,90,2013,84
48,Z,My Morning Jacket,90,2005,84
49,St. Vincent,St. Vincent,89,2014,85
50,Like a Rose,Ashley Monroe,89,2013,70
51,RTJ2,Run the Jewels,89,2014,89
52,Rounds,Four Tet,89,2003,88
53,Neon Golden,The Notwist,89,2003,91
54,Since I Left You,The Avalanches,89,2001,91
55,Modern Times,Bob Dylan,89,2006,84
56,Apex Predator - Easy Meat,Napalm Death,89,2015,74
57,HoboSapiens,John Cale,89,2004,86
58,Miss E... So Addictive,Missy Elliott,89,2001,84
59,"Bachelor No. 2 (or, the last remains of the dodo)",Aimee Mann,89,2000,87
60,The Fade in Time,Sam Lee,89,2015,51
61,Hand.Cannot.Erase.,Steven Wilson,89,2015,85
62,Fed,Plush,89,2008,78
63,A Seat at the Table,Solange,89,2016,81
64,Last Exit,Junior Boys,89,2004,84
65,The Idler Wheel Is Wiser than the Driver of the Screw and Whipping Cords Will Serve You More than Ropes Will Ever Do,Fiona Apple,89,2012,89
66,Merriweather Post Pavilion,Animal Collective,89,2009,85
67,Songs For The Deaf,Queens of the Stone Age,89,2002,91
68,Wearemonster,Isolée,89,2005,86
69,Ali & Toumani,Ali Farka Toure And Toumani Diabate,89,2010,87
71,Rejoicing In The Hands,Devendra Banhart,88,2004,85
72,Vespertine,Björk,88,2001,91
73,The Blueprint,Jay-Z,88,2001,88
74,From Kinshasa,Mbongwana Star,88,2015,52
75,In Rainbows,Radiohead,88,2007,92
76,The Woods,Sleater-Kinney,88,2005,84
77,Lonerism,Tame Impala,88,2012,91
78,Kill The Moonlight,Spoon,88,2002,90
79,Monoliths & Dimensions,Sunn O))),88,2009,68
80,Run the Jewels 3,Run the Jewels,88,2016,91
81,Foundations of Burden,Pallbearer,88,2014,79
82,The Graceless Age,John Murry,88,2013,87
83,Crown and Treaty,Sweet Billy Pilgrim,88,2012,89
84,Art Angels,Grimes,88,2015,88
85,Black Tambourine,Black Tambourine,88,2010,80
86,Abattoir Blues / The Lyre Of Orpheus,Nick Cave & the Bad Seeds,88,2004,88
87,I Am A Bird Now,Antony and the Johnsons,88,2005,82
88,Fishscale,Ghostface Killah,88,2006,87
89,No Devolucion,Thursday,88,2011,86
90,Rooms of the House,La Dispute,88,2014,84
91,Cadillactica,Big K.R.I.T.,88,2014,88
92,Arular,M.I.A.,88,2005,83
93,You're Dead!,Flying Lotus,88,2014,86
94,Remedy,Basement Jaxx,88,1999,90
95,Exit,Shugo Tokumaru,88,2008,89
96,"For Emma, Forever Ago",Bon Iver,88,2008,91
97,Complicated Game,James McMurtry,87,2015,81
98,Pacific Ocean Blue [Reissue],Dennis Wilson,87,2008,90
99,Leaves Turn Inside You,Unwound,87,2001,88
100,Have You in My Wilderness,Julia Holter,87,2015,85
101,Fleet Foxes,Fleet Foxes,87,2008,88
102,Fetch,Moritz von Oswald Trio,87,2012,88
103,Person Pitch,Panda Bear,87,2007,86
104,College Dropout,Kanye West,87,2004,89
105,Music For the Quiet Hour/The Drawbar Organ EPs,Shackleton,87,2012,78
106,Upland Stories,Robbie Fulks,87,2016,37
107,Blackstar,David Bowie,87,2016,88
108,Something More Than Free,Jason Isbell,87,2015,82
109,M B V,My Bloody Valentine,87,2013,83
110,My Woman,Angel Olsen,87,2016,83
111,John Howard & the Night Mail,John Howard & The Night Mail,87,2015,83
112,Ten Love Songs,Susanne Sundfør,87,2015,87
113,The Wonder Years,9th Wonder,87,2011,86
114,The Argument,Fugazi,87,2001,90
115,Showtime,Dizzee Rascal,87,2004,83
116,Blonde,Frank Ocean,87,2016,87
117,Choose Your Weapon,Hiatus Kaiyote,87,2015,82
118,Southeastern,Jason Isbell,87,2013,85
119,The Dirty South,Drive-By Truckers,87,2004,89
120,The River & the Thread,Rosanne Cash,87,2014,75
121,Painted Shut,Hop Along,87,2015,84
